id,name,followers,genres,popularity,related_artists_count,related_artists_ids
1qIAsl3tIpnX0j4BMi0l5g,Forfun,239073.0,"['brazilian hip hop', 'brazilian rock']",54,20,4qOzfJoSvcBp7dSDlXxwBY;5CMP1ienEyXqs6NkMOZHrw;4DAXk6EzfafnFs1LZfxJ6N;5unSnRQbVY6bEHkfNfgX5R;20k5SIjfwIVAbfgXAhUZgg
76IyGPd3y2mBZCljGcke0x,Dexter,35524.0,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",51,20,1PA11Cy0SrjmwymvGS9h0C;1JyFYHa051bTN8BH8nWa7e;7BUfNHoRQsXyJrIP1iIrAI;1CQJtHMGhqvrSZiRTjSeOU;0VeXKzjTBWHX5Lf5Kr6rLF
19eNU5TerePMfGRGoKxC3b,Jacob Hemphill,1375.0,[],46,0,
2sFXe6NbmT3k7Qy4N8fE7f,Fresno,442873.0,"['brazilian emo', 'brazilian rock', 'nova mpb', 'novo rock gaucho', 'pop rock brasileiro']",56,20,20k5SIjfwIVAbfgXAhUZgg;4qOzfJoSvcBp7dSDlXxwBY;1A3dFCPF68vh5lyxzBqLUH;4DAXk6EzfafnFs1LZfxJ6N;7q91wQ6aRy61HehIjAcgfz
5rTjH3aABAmPM5B6DZebZ7,Tiê,647171.0,"['folk brasileiro', 'mpb', 'nova mpb']",53,20,1m00QT2CkW6rHi4dly8rVN;2HubQ6TEbD7HknCNrBsqhR;1wFTlPjO7zRtvylmu5pm1d;2vyvksxB1aCmd0vl2geGYR;21LI2q2QDyaNjyfXaWWTOE
1Ja8qReIBoi7Z6ik0AQ6zS,Os Arrais,311424.0,"['adoracao', 'brazilian gospel', 'folk brasileiro', 'louvor', 'rock gospel brasileiro', 'world worship']",53,20,5PmlW3MANz3vrh2hrDnbhR;7nMA5jUpayvsedWUkX9lx7;1qtVabPP0TkBR3UyFHL7Ce;5zblJYkCzvB51Jh29FB07V;6S6ekwAUY7h8PALjCq9XjR
18mXdMHUw1ULPaeW1DNy90,Castello Branco,90565.0,"['folk brasileiro', 'nova mpb']",50,20,6a5wUPC879Kyfw0aXxVatB;5SVFuUaS3BKAdJs6I8rVa4;0slVGXBggrLglTLNKbeEyW;4rwTeE0LZKlPm6d8N4w5ME;3BwypqKeCj1DVIoEFwoz3S
2azqeHE13Y8hP8YAjew9zL,Plebe Rude,153465.0,"['brazilian punk', 'brazilian rock', 'rock brasiliense', 'rock nacional brasileiro']",45,20,6kJHpEjr5eNnVJeyfTbs3G;7L5YQQJPL1wrmrdigJavV7;3zkkrMSBLHuTKMI6I3fDWi;3LWCuB9QxDmpLhhGwqU04N;1NG0y4OWAFilBtNB2Ey9jK
3MDJ79txY73BUpAR7RnJEk,Onze:20,964975.0,"['brazilian reggae', 'brazilian rock', 'musica juiz-forana', 'nova mpb']",60,20,5CMP1ienEyXqs6NkMOZHrw;3RAlbabK7xVqcYu6i4vN0b;4yTuL3DV58ipi2dn3up6ny;5fKHm5RVUWIIirTGZlwGeO;0fnpJQo4aRTZFz8Sf4id6T
5BQveHScm6btG6jfbxwyfs,Paula Toller,326391.0,['mpb'],45,20,6Br9D29UxvAkIOyIjDpPPZ;2zDJszdrISx9K4L5hvWT33;1nKYVcowQA1JBEOr5SKPoK;46P1tvf6evAk5wk2Rg3jOq;28IcRPf399RPv4TUiZ7uol
0b82BJLnXs4PtkfJHlUocV,Gee Rocha,2781.0,[],44,20,2aimTInXI8IgnUeEwu25mB;2ArI52oZmJmKyS4DlJWsRq;42M14UjNCtQbaa0L3t2lN7;0mJuCrQOXP4OBV2D6noZ34;7IvxX9RKB0Tal8lE7LZxXN
7c8kQb9AUntvapfnuC3IhF,Terno Rei,56136.0,"['brazilian rock', 'nova mpb', 'shoegaze brasileiro']",51,20,3hnNIsiWatVyHen6mz79sf;5SVFuUaS3BKAdJs6I8rVa4;01F64hXfIisZbwBf1VCwQT;0qkHX97sDy887iAczTzWtq;18mXdMHUw1ULPaeW1DNy90
3LWCuB9QxDmpLhhGwqU04N,Lobão,296972.0,"['brazilian punk', 'brazilian rock', 'mpb', 'rock nacional brasileiro']",50,20,7L5YQQJPL1wrmrdigJavV7;7EM9m7HOXxVgP9oEpDDv70;2euX7vCVnJy3TVEGfc0RCl;3zkkrMSBLHuTKMI6I3fDWi;5zq0SGWxrmzpTSXkBEQzMj
0nNM4GoozMXNtRBGOwzFCA,Ndee Naldinho,83667.0,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",42,20,26hFGAboiK1hGyRCXdfOq3;3uyCb9gtdnzyXxdActGeJN;0VeXKzjTBWHX5Lf5Kr6rLF;6Oos9omfvMwlsZHn0H4t9W;1nwuifu5rxgVlrGwjjoJOt
0IVBT8qQNwvHLzOJL6kGpE,Oriente,1143561.0,"['brazilian edm', 'brazilian hip hop', 'brazilian reggae']",61,20,5WgRuO0mhM36NFoapzpWBH;0iUdFhwiXjGQWAt9yXPP1T;5Znx4PG5UsUitigaJnmZX3;2zGf6lwQ9PxXdoeo5XXP2K;5YZEcrC3yHeiZ1bBvwKRUF
5ZtyHkAGvYFPSYcWPfmL5n,Liniker e os Caramelows,291927.0,"['funk carioca', 'nova mpb', 'pop lgbtq+ brasileira', 'transpop']",59,20,7qmf5YAQYjfjBF9C7kkjzs;2QLSJqqGIstNbO6nYRR16o;6hfNZcbKvjpOnhhkFVKyt7;3ExGkIKgqWpIr2hr0nepRp;4U1VRNe8VwcTAA6ShGyuke
6W2jVpE55n1wT0SrpxoeFk,Dalsin,227119.0,['brazilian hip hop'],53,20,26aPjwxSSJsGy6yQ19YL55;45Yz90pqjzEdJzpEQg1eII;4eQ4RMjplRznwHA1UBNnXT;6Ywb1no2hXLazjIs4LUiQD;3ljiSwQJmAVQVOXirjA2RT
2b3gMC15SnC8mwjnYiUXvx,Mato Seco,447823.0,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock']",53,20,6crUnfFtxFx7u9OGE1AHZo;5fKHm5RVUWIIirTGZlwGeO;3UuKVWKt06WkHABc5arEXD;5vdKTN2fAvYilL2qLjHKO6;6oAqyhJILwJf9S3Of2zTuv
33xmh99C0KxDvzaPjR178o,Instituto,14136.0,"['brazilian hip hop', 'brazilian indie', 'manguebeat']",52,20,7dLXGClVfy10Ug57dZE0iC;1S8lU1AJ9WiQjvyjeSQNkw;1W1k6LUPDR0l4zwvKR4YLI;36BZD4FCNMALjIkKSpJABE;3wYrCJWf6iI5vuUDOnZdUw
3IokbxGxDtjuk6wPdisQ6o,Esteban Tavares,82134.0,"['brazilian rock', 'nova mpb', 'novo rock gaucho']",46,20,0ScxxqjnVMeXYqPl5AavFd;2iiIiebCQqwrwCqARl4Q3A;11xX6bMCvpstEFOyx8lxYg;7q91wQ6aRy61HehIjAcgfz;2sFXe6NbmT3k7Qy4N8fE7f
0n1wKapVwhPJKt0REzPNfb,Tati Portella,3746.0,['reggae gaucho'],46,20,39dsFcF29ENLVm7zRQuQAv;207f9IzqwLw1WXoQRIkis3;3dVC50y58hgXFG6EI34Wpa;44nuOAoL0OIc2QmKfO0nnl;2FFqNfDTHYjlulBHUaVG8j
5dk0R5am4zMYmG6uyZwfkW,Seu Pereira e Coletivo 401,38752.0,"['brazilian rock', 'musica paraibana', 'nova mpb', 'rock paraibano']",45,20,4FohWSbnM0qZHrgT0nD8ZS;2pG3gLX9VMIXtbSRxvNKjC;7kF4TDKgWfhbDuBbOOBcHW;4Va55p3P2P96lIgzntievo;1q3J12DzCpwW0EwLrKlXvC
4E18TGN1tOs6QTHAOupZgV,Helião,10022.0,['brazilian hip hop'],39,20,0VeXKzjTBWHX5Lf5Kr6rLF;1nwuifu5rxgVlrGwjjoJOt;5SwUeb4XF46E6uqRIRFPs4;6gOXHHfszKFFvIaKUe2aTN;2fYAyTS2erZgqEHKHYqgi2
3V3rRpp5sbiBNY34AdnplK,Facção Central,512799.0,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",49,20,1CQJtHMGhqvrSZiRTjSeOU;4oE4ASN8auDhoW9vsXp3VJ;0MihNWp86Psp4ss7Evogvv;1PA11Cy0SrjmwymvGS9h0C;29CQLw9uLWsl8Qkz9holfr
11xX6bMCvpstEFOyx8lxYg,Zimbra,102157.0,"['brazilian rock', 'nova mpb', 'pop rock brasileiro']",49,20,1Z5eMWseuXfjpB1qb0i7TH;0icMce3ZQU1HdA8gGHo5Rg;2iiIiebCQqwrwCqARl4Q3A;0oxzuDPaVqVeGDKQfp36QZ;2Q9b1jENJLIp5qlPclJpbV
2PK9pWPbpzjPDM2HVR1NEO,MAR ABERTO,194310.0,"['folk brasileiro', 'nova mpb']",56,20,3gZAVWMzKOt1tVO4tHoGwo;3iEB8nwJu246B3fN4zPuqW;2NV1SEgX1h3DIADJjzRrQy;1yDSKMic67iC35S4ReS71e;66mL7YE8rG9eCu4QgM64m4
1CQJtHMGhqvrSZiRTjSeOU,RZO,366085.0,"['boom bap brasileiro', 'brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",48,20,53eJax5oXY1SqAwVjSO7Uk;3V3rRpp5sbiBNY34AdnplK;1PA11Cy0SrjmwymvGS9h0C;0MihNWp86Psp4ss7Evogvv;5tHjOt4JaY81Rze0BsQwdE
0rexWKb4rBwWS07SoHqsX0,Vanguart,166063.0,"['brazilian indie', 'brazilian indie rock', 'brazilian rock', 'folk brasileiro', 'nova mpb']",48,20,3DtHAw4MrjXhVFotN5n8fZ;0nHBwMGBqmmm0KTWJMFHZx;3oZozYd18SKf2a7Dg9Cd2V;1m00QT2CkW6rHi4dly8rVN;2HubQ6TEbD7HknCNrBsqhR
6FvGIOpELnPLxPoyqotQ0Q,Tihuana,354786.0,"['brazilian punk', 'brazilian reggae', 'brazilian rock', 'rock nacional brasileiro']",49,20,6SXLkJrpyA2cxh2B1Xq3b7;5AlUDdksfPP7l4Qm22MJA9;4Z0yuwHVJBROVZqFpTIr0d;3CfJckVRuukdJSvK3r89yJ;3ucYi2JRu3j12lHbfqms9u
631T7yPinNND4sm5RINYxu,Sidney Scaccio,96189.0,['nerdcore brasileiro'],48,20,3BL1s5UAxSPUJh3QZh3IRD;4zfIqIxYFw4kZlUiaCik2B;0ZIlwtVZkqtMZUpbHrz8TL;7dlay5tI6UDYGbGrtW1oHx;3kzjMNNmKlPwI0FvPQJzps
78nr1pVnDR7qZH6QbVMYZf,Baco Exu do Blues,689102.0,"['brazilian hip hop', 'funk carioca', 'pop rap brasileiro', 'rap baiano', 'trap brasileiro']",63,20,6mw0OyFqwxCOmz1v3W3htO;0hWRVPGWjaXcEvg8l65Tx0;6U98XWjrUPnPtPBjEprDmu;34JhhuxlkDFSA5ek4AuZOp;1YOVBTvznjiDvtAj4ExHeo
1BK4rRbvgkgYoOpPweuSJS,Cayouche,10972.0,"['canadian country', 'chanson quebecois', 'country quebecois', 'musique acadienne']",43,20,47Jz2n2v5J4DydiDUp3NkI;2GmkaEeE31sBXm7HPeO43M;2sE0WfBeLJvcPlFiGmUCwM;4JNWNjB0AE0aLIuG5GNdiR;49fBZHMEYaw2OCJFo7saeV
7sKxqpSqbIzphAKAhrqvlf,Walker Hayes,271339.0,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",60,20,0dvKgSdNB2U1gfp6ZcekYi;0qSX3s5pJnAlSsgsCne8Cz;0Bvs8yPjrQSbmVIRqSg1Sp;7tkwiWhGKSuQV8LwPWceWN;0RKP52f5PNDCRZ9Luq2Sr7
2ndxSSEDxr0s9csEgGYMrE,Bernard Adamus,39902.0,"['canadian blues', 'canadian folk', 'indie quebecois']",44,20,3k0HFz1mMtmsaWYsX75MiW;6l8KabfQ4VAdFHzm3ZOOYZ;4wxSKb9ur3AbGRCv81xFAd;6zmMGBnFE2DCkAxaCVULRP;2zZ8py1CLFzH10bc2unTpn
