track_id,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6QEQQbdqy6MIjqIa8tNvTj,You,Dan + Shay,New Country,1,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
5ROz72zGx6pWOKoes5soBm,Glad You Exist,Dan + Shay,Single Saturday Night - Country Songs,0,144760,False,0.741,0.499,11,-8.035,1,0.0356,0.23,0.0,0.125,0.692,103.96,4,country
1reKcluTdLC5sHyUi49XOV,You,Dan + Shay,Burn Burn Burn - Hot Country Hits,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
6dF0KC5b9O5yaVAP6t6oFa,"10,000 Hours",Dan + Shay;Justin Bieber,Give You Love - Cozy Hits,0,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
3olUwN8JrVTL2Jh1yDyJHi,"10,000 Hours",Dan + Shay;Justin Bieber,Easy Country,0,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
4rhIB4nVYTvB7wi6SrLp6z,Nothin' Like You,Dan + Shay,Chillin' It - Mellow Day Country,0,186253,False,0.586,0.704,4,-4.772,1,0.0307,0.15,0.0,0.067,0.442,84.982,4,country
0E3guardtMOU1IwzELZdXA,You,Dan + Shay,Never Leave - Country Magic,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
47etYUs12o0yYHd2bQ7Hel,Buy Dirt,Jordan Davis;Luke Bryan,Autumn Vibe,0,167480,False,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,4,country
4WL9q9SK8qIlleTzocUAtZ,You,Dan + Shay,Oklahoma Smokeshow - Breakout Country,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
3QXRiVwxn7MHstHs11mwkX,Officially Christmas,Dan + Shay,Happy Country Christmas,0,178386,False,0.655,0.677,6,-4.278,1,0.0326,0.146,0.0,0.131,0.62,127.041,4,country
4cDX4xSAxCH2ckaU6cJM25,Tequila - Mushroom People Remix,Dan + Shay;Mushroom People,Am I Ready - Pop Night Out,0,197817,False,0.545,0.713,8,-6.944,0,0.0543,0.0187,0.0,0.0775,0.476,189.985,4,country
6eWeTcpAu5F68IQf2xWTU3,You're Still The One,Shania Twain,Los Clásicos del Pop 90s,3,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country
5VFKfahPr6qgucDOv7oMIh,Heartache On The Dance Floor,Jon Pardi,Mientras hago aromaterapia,0,205200,False,0.596,0.833,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,115.997,4,country
5VCy743OaUmLpijIonFmaw,Man! I Feel Like A Woman!,Shania Twain,Los Clásicos del Pop 90s,3,233000,False,0.654,0.889,10,-3.058,1,0.0513,0.64,0.0,0.297,0.73,125.018,4,country
0Qi2JkCpl4VrTVC6UqxSGX,You're Still The One,Shania Twain,Coffee Break,0,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country
7jkbE3Gxpqp58m4bn5FWu7,You're Still The One,Shania Twain,90's Music Grandi Successi,0,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country
42Do6gNxZctRhhWKw55RJ5,Human,Cody Johnson,New Country,2,221520,False,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,4,country
4quvClCm13beWUAS7A8oOb,Human,Cody Johnson,Hideaway - New Boots,0,221520,False,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,4,country
02HqnDssYA62iGapkpJIkJ,'Til You Can't,Cody Johnson,Country Car Hits,1,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
1vL63FmpGbAEpKCSh7ZsL0,I'm Gonna Getcha Good - Green Version,Shania Twain,Sunny Mornings,0,269400,False,0.724,0.789,1,-4.813,1,0.0302,0.0441,0.0,0.0612,0.945,124.013,4,country
5NIghjUqcZEDKbjLtlFEnS,Fenceposts,Cody Johnson,Easy Country,0,177040,False,0.455,0.628,7,-6.253,1,0.0272,0.31,1.85e-06,0.223,0.402,160.0,4,country
2intfvINZGxNvyMRZaC7mI,Hat Made of Mistletoe,Cody Johnson,Country Christmas Time,1,156346,False,0.598,0.943,2,-3.964,1,0.0347,0.0933,0.0,0.331,0.801,117.906,4,country
7frfyLfeNQbyKvPUBdrDjl,Hat Made of Mistletoe,Cody Johnson,Country Holiday,0,156346,False,0.598,0.943,2,-3.964,1,0.0347,0.0933,0.0,0.331,0.801,117.906,4,country
7HUlOKnGX8VZjwSCdd6N7X,Dirt On My Boots,Jon Pardi,Country USA,0,201893,False,0.683,0.796,11,-4.179,1,0.0284,0.112,0.0,0.197,0.533,90.031,4,country
0mTSm4MqhfSwCwDnQqABKk,'Til You Can't,Cody Johnson,Country Road Songs,1,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
1nSYUQngGS5foiagiilbYU,Singles You Up,Jordan Davis,Mientras hago aromaterapia,0,182693,False,0.634,0.903,7,-3.588,1,0.0323,0.0465,0.0,0.255,0.559,100.083,4,country
20oObdEfRtnT9PkZ6YqOP2,Fill 'Er Up,Jon Pardi,Tailgate Country,0,168512,False,0.652,0.746,9,-5.325,1,0.0286,0.0142,0.0,0.272,0.876,135.063,4,country
6fJbsque97JgCY0Bi3w1mQ,Human,Cody Johnson,Oklahoma Smokeshow - Breakout Country,0,221520,False,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,4,country
0flKOLkgpWup1pH16EVaPO,Dirt On My Boots,Jon Pardi,Tailgate Country,0,201893,False,0.683,0.796,11,-4.179,1,0.0284,0.112,0.0,0.197,0.533,90.031,4,country
2bbBBFlA66OVmzX9BMD9Dh,Man! I Feel Like A Woman!,Shania Twain,Tailgate Country,0,233000,False,0.654,0.889,10,-3.058,1,0.0513,0.64,0.0,0.297,0.73,125.018,4,country
7k50ddcASwxD4nq6cXCEle,Driveway,Cody Johnson,Chillin' It - Mellow Day Country,0,167213,False,0.486,0.565,6,-6.553,1,0.0336,0.27,0.0,0.109,0.269,129.961,3,country
4TeLaDmBpXnXtzvlY353yD,Stronger,Cody Johnson,Finest Country,0,194760,False,0.453,0.7,1,-4.741,1,0.038,0.131,0.0,0.186,0.447,164.173,3,country
0KL1FSJmz6Fie5xnzhfbIw,Fenceposts,Cody Johnson,Cozy Country,0,177040,False,0.455,0.628,7,-6.253,1,0.0272,0.31,1.85e-06,0.223,0.402,160.0,4,country
5huByJCSYO88ozJcs4p8co,'Til You Can't,Cody Johnson,Never Leave - Country Magic,0,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
4RttQSlgO2ijW0wQNLz4GM,Silent Night,Cody Johnson;Clara Johnson;Brandi Johnson;Cori Johnson,Happy Country Christmas,0,218826,False,0.442,0.131,7,-10.49,1,0.028,0.687,0.0,0.127,0.277,76.991,3,country
7CzUkV2dSe5WwM4apgSIhK,'Til You Can't,Cody Johnson,New Country Hits,0,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
32GoFnMDbw56kIBCmoHubS,Fenceposts,Cody Johnson,Laidback Country,0,177040,False,0.455,0.628,7,-6.253,1,0.0272,0.31,1.85e-06,0.223,0.402,160.0,4,country
5XuozI1077Tdy8EUabPWuE,Let's Build a Fire,Cody Johnson,Good Times Country,1,176666,False,0.417,0.968,8,-3.827,1,0.0452,0.00144,2.56e-05,0.0827,0.879,187.979,4,country
2JerUEDYblFmPzZjLs4a1z,'Til You Can't,Cody Johnson,Single Saturday Night - Country Songs,0,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
0EnvJBejWaMxn3qAvWV4B9,On My Way to You,Cody Johnson,Single Saturday Night - Country Songs,0,213306,False,0.445,0.537,1,-5.477,1,0.0311,0.331,5e-05,0.0866,0.246,157.98,4,country
2eDNes32ixF4zZnBcRgIAw,'Til You Can't,Cody Johnson,Burn Burn Burn - Hot Country Hits,0,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),84,391376,False,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4,country
1RApeFN2al65TwLqQ2cVho,"10,000 Hours",Dan + Shay;Justin Bieber,Relaxing Pop,2,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
28mwPMWi59y5SIwOlRHGwi,How Not To,Dan + Shay,Finest Country,0,192000,False,0.501,0.836,11,-3.587,0,0.0488,0.208,0.0,0.152,0.617,159.849,4,country
6oP9uP1m5EqgdeJiK0brk0,You,Dan + Shay,Country Car Hits,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
